Name,Developer,Rating,Rating_Number,short_description,key_benefits,Price
Paymentiyo: Hide Other Payment,Tech Brothers,0,0,Hide additional payment options base on customer tag,"Hide Paypal 
       Hide Paypal button base on customer or for all customers. 
    
     
       Hide Amazon Pay 
       Hide Amazon pay button base on customer or for all customers. 
    
     
       Hide Google Pay 
       Hide Google Pay button base on customer or for all customers.","All in one
       

     
      $0.99/month
 

   

     
             Hide payment option as per customer tag 
             Hide for all customer 
             Hide all other payment options(PayPal, Google Pay, Amazon Pay)"
Quick Pick Picklists,JSJ.Expert,4.2,5,A quick way to pick your orders,"Pick Your Orders Faster! 
       See all unpicked items in one place and know at a glance how many you need. Pick the right quantity of items needed in one stockroom visit. 
    
     
         
           
         
       Never lose your place! 
       Quick Pick's Pick Lists save each action as it happens allowing you to leave and come back where you left off. 
    
     
         
           
         
       See Only What Matters To You 
       Do you offer pre-orders or payment after delivery? Customize your Quick Pick List to include only the orders and information you need.","Quick Pick
       

     
      $4.99/month
 

   

     
             Unlimited pick lists 
             Unlimited picked items 
             Unlimited picked orders"
Printout Designer,Actual Reports,4.9,54,"Create professional invoices, packing slips and labels","Faster Order Processing 
       Streamline your shipping process with the ability to create invoices, picking slips and labels in a matter of seconds. 
    
     
       Easy Configuration 
       Create any kind of documents from invoices to packing slips and barcode labels. You can add text, images, barcodes, QR codes and much more. 
    
     
       Unified Brand Identity 
       Customize your printouts to reflect your existing brand and storefront. No more manual copy-pasting to match your style and preferences.","Micro
       

     
      $4.99/month
 

   

     
             Process up to 50 orders/month 
             Process up to 50 products/month 
 
   
       
        Starter
       

     
      $9.99/month
 

   

     
             Process up to 300 orders/month 
             Process up to 300 products/month 
             Batch fulfil 
             Automated emails & printing 
             Google Cloud Print integration 
 
   
       
        Basic
       

     
      $19.99/month
 

   

     
             Process up to 1000 orders/month 
             Process up to 1000 products/month 
             Batch fulfil 
             Automated emails & printing 
             Google Cloud Print integration 
 
   
       
        Professional
       

     
      $59.99/month
 

   

     
             Unlimited orders/month 
             Unlimited products/month 
             Batch fulfil 
             Automated emails & printing 
             Google Cloud Print integration"
Carts Guru ‑ Retargeting,Carts Guru,4.7,14,The all-in-one retargeting solution to recover your lost sales,"Multi-channel retargeting 
       Email, Text message, Facebook Messenger and Facebook Ads to recover more than 20% of your lost sales. 
    
     
         
           
         
       Smart campains 
       Advanced segmentation (1st purchase, cart value...) and unlimited scenarios to smartly reengage your visitors to complete their purchase. 
    
     
         
           
         
       Amazing features 
       Discount management, widgets opt-in, multi-website management, advanced dashboard & metrics, auto-login & cross device, amazing support.","Growth
       

     
      $199/month
 

       
        2.5% on sales recovered
       
   

     
             Unlimited Emails 
             SMS (1000 Included) 
             Unlimited Facebook Messenger & Facebook ads 
             Unlimited Websites 
             Open or click sales attribution"
Related Blog Posts,Digital Darts,4.9,168,Suggest other blog posts of yours for better engagement & SEO,"Improve reader engagement 
       Suggest relevant posts of yours on your Shopify blog to improve reader engagement 
    
     
         
           
         
       Boost SEO 
       Boost your SEO with quality internal links and better Google crawlability 
    
     
         
           
         
       Fast to install 
       Fully customizable, fast, and quick to install",Free
Flits,Flits,4.6,102,"Store Credits, Wishlist, Social Login, Customer dashboard","Customer Account page 
       Summarize customer data into one place including store credit, reorder, recently viewed products, profile, delivery address. 
    
     
       Store Credits 
       Add value to the customer through direct store credit. Add value to your customers on this christmas. 
    
     
       Social Login 
       The use of social logins can make the registration process easier, therefor faster.","Basic
       

     
      Free to install
 

       
        *Paid Add ons Available- Store credits & 3 others
       
   

     
             1000 Customers 
             Classic Customer Account page 
             Reorder 
             Recently Viewed Products 
             Add extra page 
             Multilanguage 
 
   
       
        Advance
       

     
      $5/month
 

       
        you only pay what you’ve actually used, and not a cent more.
       
   

     
             5000 Customers 
             Classic Customer Account page 
             Reorder 
             Recently Viewed Products 
             Add extra page 
             Multilanguage 
 
   
       
        Proffesional
       

     
      $7/month
 

       
        you only pay what you’ve actually used, and not a cent more.
       
   

     
             25000 Customers 
             Classic Customer Account page 
             Reorder 
             Recently Viewed Products 
             Add extra page 
             Multilanguage 
             Custom Layout 
 
   
       
        Enterprise 
       

     
      $10/month
 

       
        Cost will be based on customers.
       
   

     
             50,000-2,50,000 customers 
             Classic Customer Account page 
             Reorder 
             Recently Viewed Products 
             Add extra page 
             Multilanguage 
             Custom Layout 
             Custom API"
Dropshipping by Dropwow,Dropwow,3.8,114,Top dropshipping products with fast shipping from US and China,"Fast Shipping 
       US suppliers: shipping 4-12 days
China suppliers: shipping 7-14 days
Processing time: 1-5 days 
    
     
         
           
         
       400K Profitable Products 
       Find and add products with proven performance directly into your Shopify store 
    
     
         
           
         
       Amazing App 
       All orders are fulfilled automatically. No need to copy&paste customer info or do any manual work.","Dropwow
       

     
      $29/month
 

   

     
             Fast shipping 4-12 days from US, 7-14 day from China 
             400K profitable dropshipping products 
             100% auto order fulfillment 
             24/7 online support"
Google Express Integration,CedCommerce,5,7,Manage products & orders on Shopping Actions & Google Shopping,"New Customer Base 
       Leverage Google Assistant & Search with the universal cart to tap E-commerce, M-commerce & Voice Shopping and maximize outreach. 
    
     
         
           
         
       Save Time and Money 
       With the effective handling of listings and updates in near-real time, the app not only saves manual efforts but also the time and money. 
    
     
         
           
         
       Order Management 
       Fetch your Order into Shopify store, manage order fulfillment, order Shipping, & tracking information on Google Express","Starter Plan
       

     
      $29/month
 

   

     
             Near Real-Time Unlimited Order Syncing 
             24/7 Support 
 
   
       
        Basic Plan
       

     
      $49/month
 

   

     
             Upload up to 50,000 SKUs 
             Real-Time Product Syncing 
             Near Real-Time Unlimited Order Syncing 
             24/7 Support 
 
   
       
        Gold Plan
       

     
      $79/month
 

   

     
             Upload up to 1,00,000 SKUs 
             Real-Time Product Syncing 
             Near Real-Time Unlimited Order Syncing 
             24/7 Support 
 
   
       
        Platinum Plan
       

     
      $99/month
 

   

     
             Upload 1,50,000 SKUs 
             Real-Time Product Syncing 
             Near Real-Time Unlimited Order Syncing 
             24/7 Support"
CareCart Messenger Marketing,Care Cart,0,0,Messenger Marketing & Abandoned Cart Recovery Solution,"Facebook Messenger 
       Take advantage of a low friction opt-in for high open-and-click rates to multifold your sales. Optimally target anonymous shopping carts. 
    
     
         
           
         
       Email Re-targeting 
       Equip your store with aptly personalized email remarketing to engage and recapture customers who got pending checkouts. 
    
     
         
           
         
       Automate your Marketing 
       Open-handedly design your campaigns and give them higher visibility by sending them straight to your customers’ screen.","Free
       

     
      Free
 

   

     
             Cart Abandonment Email Best Practices 
             5000 Email 
             Fully functional Email Designer 
             Cart Reminder 
 
   
       
        Plus
       

     
      $19/month
 

   

     
             Upto 20,000 automated emails 
             Upto 20,000 Push Notification 
             Upto 20,000 Messenger Campaign Messages 
             Fully functional Email Designer 
             Cart Reminder 
 
   
       
        Premium
       

     
      $29/month
 

   

     
             Dashboard with rich analytics 
             Upto 50,000 automated emails 
             Upto 50,000 Push Notification 
             Upto 50,000 Messenger Campaign Messages 
             Cart Reminder"
Awesome Store Locator,Awesome Store Locator,5,1,Awesome Store Locator - customers will find you in no time!,"One click navigation 
       No more typing - customers can get directions with one click 
    
     
         
           
         
       Accuracy matters 
       No one gets lost by using Google Maps 
    
     
         
           
         
       Your locator, not ours 
       Completely tailored to your store. Fonts, colors and map styles can be customized.","Free
       

     
      Free
 

   

     
             One location 
 
   
       
        Micro
       

     
      $9/month
 

   

     
             50 locations 
 
   
       
        Small
       

     
      $19/month
 

   

     
             500 locations 
 
   
       
        Medium
       

     
      $59/month
 

   

     
             1000 locations"
InXpress ‑ DHL at Checkout,InXpress,4.5,43,DISCOUNTED INTERNATIONAL SHIPPING,,Free
Quantify,Akuna Technologies,5,5,Setting Min-Max Quantities now made Easy,"Easily Define Min & Max 
       With Quanitfy, you can now easily set minimum and maximum quantity for your products, orders etc., so that you sell only the way you desire. 
    
     
       Simple and User-Friendly 
       The interface of Quantify has been developed with you in mind and to make everything easy. It is simple to use and user-friendly. 
    
     
       Control your Cart 
       Easily specify the minimum and maximum quantities for your cart so that you control how much you sell.",$3.99/month
Zero Øut,Valence Labs,4.9,50,Hide Sold Out Products,"Auto hide sold out products 
       Saves you time by automatically hiding products with 0 inventory 
    
     
       Improve the buying experience 
       Prevents customers from shopping for out-of-stock products 
    
     
       Keep everything up-to-date 
       Automatically shows products that come back in-stock so your shop's catalog is always up-to-date",$9/month
OrderlyPrint,FORSBERG+two,4.9,95,"Pick, pack, invoice and fulfill faster.","All the documents you need 
       Invoices, receipts, picking lists, packing slips and return forms. Design templates with your store branding, taxes, translations and more. 
    
     
         
           
         
       Keep your customers informed 
       Fulfill orders in bulk. Automatically syncs fulfillments with your store and sends shipping notifications with order tracking to customers. 
    
     
         
           
         
       Stay organized, reduce errors 
       Use the picking list to reduce warehouse packing errors and costly mistakes. Stay organized with order tags and powerful filters.","Awesome Timesaver
       

     
      $49/month
 

   

     
             Unlimited everything! Print, fulfill and export as much as you need, with no extra charges or order limits."
WherEver Chat,mBay Inc,0,0,Live chat with audio call and video chat,"Chat, Audio call, Video chat 
       Blend live chatting, in-browser audio and video calling, as appropriate. All in a single screen. Put customer engagement in next orbit. 
    
     
         
           
         
       Augment customer acquisition 
       WherEver chat gives you  a custom click-to-chat link. Embed this link in email campaign, Facebook, Digital Ads etc. Pave for instant connect 
    
     
         
           
         
       Multi-session chat 
       Customer service  is seldom one-time chats. Picture the customer profile from previous chats. Resume chat from the last session.","Regular
       

     
      $12/month
 

       
        $12.00/month subscription, each additional agent is $12.00
       
   

     
             1. In-browser audio chat and video chat. 
             2. Multi-session chats. 
             3. Click-to-Chat-link for your facebook, yellowpage, email signature, etc."
InstaShop: Shoppable Instagram,Zipline,4.8,47,Create Stunning Shoppable Galleries of Instagram Pictures,"Shoppable Instagram galleries 
       Bring user generated Instagram pictures into your store. Enhance pictures with pins. Pins link to products in your store. 
    
     
       New way for customers to shop 
       Create stunning galleries of Instagram pictures: Sliders, Grids and Collages. 
Add to your home page or a dedicated 'Shop Instagram' page 
    
     
       Enhances Instagram pins 
       Instagram pins only work on the Instagram app. 
InstaShop complements the service by adding shoppable galleries of pictures to your store.","Basic Plan
       

     
      Free
 

   

     
             • Unlimited Product Pins 
             • Unlimited Instagram accounts, #tags 
             • NO watermarks 
             • Slider, Grid layout 
             • Email support 
             • Free Embedding 
 
   
       
        Essential Plan
       

     
      $12/month
 

   

     
             All above, plus: 
             • Collage layout 
             • Advanced gallery options 
             • Display product prices 
             • Auto Visible 
             • Unlimited displayed pictures"
Pollen,Poln,3.8,38,Facebook Prospecting and Retargeting Ads on Autopilot,"Target the right audience 
       Pollen automatically targets the right audience for you using data from your site, sales, social media and more. 
    
     
         
           
         
       Automated and easy to use 
       Setup your ad campaigns in 2 minutes! We're serious. Pollen's super simple and powerful ad builder makes advertising easy for you. 
    
     
         
           
         
       Simple and powerful dashboard 
       Track your results and see how your sales improve with Pollen. Our reporting dashboard is designed with you in mind.","Start-Up
       

     
      Free
 

   

     
             20% of ad spend. Ideal for spends up to $500 a month. 
 
   
       
        Growing
       

     
      $9.99/month
 

   

     
             4% of ad spend. Ideal for spends from $500 to $2,000 a month. 
 
   
       
        Elite
       

     
      $49.99/month
 

   

     
             3% of ad spend. Ideal for spends from $2,000 to $5,000 a month. 
 
   
       
        Enterprise
       

     
      $199.99/month
 

   

     
             0% of ad spend. Ideal for spends from $5,000+ a month"
Coming Soon,Sovi Creative,4.8,52,Convert customers while you're away.,"Collect Customer Information 
       Easily collect customer info while you're store in being built or updated. 
    
     
         
           
         
       Setup In Minutes. 
       We mean it, like we say it. Use our code free editor to brand your Coming Soon page. 
    
     
         
           
         
       Sell Immediately (Beta) 
       Sell before your store in ready? Contact us to be featured in our shopping beta.",$14.99/month
Subscriptions by ReCharge,ReCharge,4.9,1288,Launch and scale your subscription and recurring business,"Seamless Shopify Integration 
       Quickly integrate ReCharge's all-in-one subscription platform with Shopify's checkout, order flow, customer accounts, and 3rd party apps. 
    
     
         
           
         
       True Enterprise Solution 
       ReCharge gives you a robust API, webhooks, integrations, and other enterprise features to scale and customize your subscription business. 
    
     
         
           
         
       Create Happy Customers 
       Grow your recurring revenue and reduce support requests by providing an amazing customer portal experience to match your brand.",$39.99/month
